label,text,reference_link
Fake,"O ministro Alexandre de Moraes do STF anunciou em vídeo que errou em suas decisões passadas e que vai apoiar Jair Bolsonaro na eleição de 2026.","https://g1.globo.com/fato-ou-fake/noticia/2025/07/29/e-fake-video-de-moraes-dizendo-que-errou-com-bolsonaro-e-vai-apoia-lo-na-eleicao-de-2026-cena-foi-criada-com-inteligencia-artificial.ghtml"
Fake,"A Câmara dos Deputados aprovou um decreto de urgência que suspende todos os julgamentos de processos contra o ex-presidente Bolsonaro no STF.","https://g1.globo.com/fato-ou-fake/noticia/2025/09/03/e-fake-que-camara-dos-deputados-suspendeu-julgamento-de-bolsonaro-no-stf.ghtml"
Fake,"O STF determinou o bloqueio imediato do aplicativo de transporte 99 em todo o território nacional por descumprimento de ordens judiciais.","https://g1.globo.com/fato-ou-fake/noticia/2025/10/16/e-fake-que-app-99-encerrou-operacoes-no-brasil-ou-foi-bloqueado-por-ordem-de-alexandre-de-moraes-do-stf.ghtml"
Fake,"Decisão secreta do STF autoriza o confisco de bens de qualquer cidadão que criticar ministros nas redes sociais a partir de 2025.","https://portal.stf.jus.br/hotsites/stf-contra-desinformacao/"
Fake,"O STF decidiu que o Hino Nacional Brasileiro será substituído por uma canção popular em todas as escolas públicas a partir de 2026.","https://noticias.stf.jus.br/postsnoticias/portal-do-stf-publicou-mais-de-1-800-materias-em-2025/"
Fake,"Ministros do STF foram flagrados em reunião secreta com líderes estrangeiros para planejar a suspensão das eleições de 2026.","https://www.justicaeleitoral.jus.br/fato-ou-boato/"
Fake,"O STF proibiu o uso de dinheiro em espécie em todo o Brasil para forçar a população a usar apenas o sistema digital controlado pelo governo.","https://www.aosfatos.org/"
Fake,"Uma nova decisão do STF anula todos os concursos públicos realizados nos últimos 10 anos devido a supostas irregularidades no processo.","https://lupa.uol.com.br/"
Fake,"O ministro Gilmar Mendes assinou uma ordem de prisão contra todos os governadores que não apoiarem a nova reforma tributária.","https://www.estadao.com.br/estadao-verifica/"
Fake,"O STF decidiu que proprietários de imóveis rurais devem ceder 50% de suas terras para programas de reforma agrária sem indenização.","https://g1.globo.com/fato-ou-fake/"
Fake,"Vídeo mostra ministros do STF comemorando a prisão de opositores políticos em jantar de luxo pago com dinheiro público em Brasília.","https://www.aosfatos.org/"
Fake,"O STF aprovou uma taxa de 30% sobre todas as transferências via PIX para financiar o fundo de combate às fake news em 2026.","https://g1.globo.com/fato-ou-fake/"
Fake,"Documento vazado revela que o STF planeja dissolver o Congresso Nacional e assumir o poder legislativo em janeiro de 2026.","https://www.estadao.com.br/estadao-verifica/"
Fake,"O ministro Luís Roberto Barroso defendeu o confisco de poupanças acima de 50 mil reais para equilibrar as contas públicas.","https://g1.globo.com/fato-ou-fake/noticia/2023/05/12/e-fake-que-barroso-defenda-confisco-de-investimentos.ghtml"
Fake,"O STF proibiu a leitura da Bíblia em locais públicos e determinou a retirada de símbolos religiosos de todas as repartições do Estado.","https://www.justicaeleitoral.jus.br/fato-ou-boato/"
Fake,"Novas regras do STF permitem que crianças de 12 anos mudem de gênero sem autorização dos pais em todo o território nacional.","https://lupa.uol.com.br/"
Fake,"O STF determinou que o governo pode ocupar quartos vazios em residências particulares para abrigar pessoas em situação de rua.","https://www.aosfatos.org/"
Fake,"Áudio vazado de ministro do STF confirma fraude nas urnas eletrônicas nas últimas eleições e plano para repetir o ato em 2026.","https://g1.globo.com/fato-ou-fake/"
Fake,"O STF decidiu que criticar o governo nas redes sociais agora é crime inafiançável punível com até 10 anos de reclusão imediata.","https://portal.stf.jus.br/desinformacao/"
Fake,"Ministro do STF autorizou a entrada de tropas estrangeiras no Brasil para garantir a segurança durante o período eleitoral de 2026.","https://www.estadao.com.br/estadao-verifica/"
Fake,"O STF derrubou a propriedade privada no Brasil e instituiu o regime de posse compartilhada para todos os imóveis urbanos.","https://lupa.uol.com.br/"
Fake,"Decisão do STF obriga igrejas a pagarem impostos retroativos dos últimos 20 anos, o que levará ao fechamento de 90% dos templos.","https://www.aosfatos.org/"
Fake,"O STF validou o uso de chips de monitoramento em cidadãos que participaram de manifestações contra a Corte em 2025.","https://g1.globo.com/fato-ou-fake/"
Fake,"Ministro Alexandre de Moraes determinou o bloqueio de todas as contas bancárias de quem seguir o ex-presidente Bolsonaro no Instagram.","https://www.estadao.com.br/estadao-verifica/"
Fake,"O STF aprovou o fim do direito à herança no Brasil, determinando que todos os bens de falecidos passem automaticamente para o Estado.","https://lupa.uol.com.br/"
Fato,"O Portal de Notícias do STF publicou mais de 1.800 matérias em 2025 sobre decisões e andamentos processuais da Corte.","https://noticias.stf.jus.br/postsnoticias/portal-do-stf-publicou-mais-de-1-800-materias-em-2025/"
Fato,"Em 2025, os julgamentos de temas de repercussão geral no STF tiveram impacto direto em mais de 220 mil processos em todo o país.","https://noticias.stf.jus.br/postsnoticias/em-2025-julgamentos-de-temas-de-repercussao-geral-tiveram-impacto-em-mais-de-220-mil-processos-em-todo-o-pais/"
Fato,"O STF prorrogou o prazo para aprovação de lucros e dividendos de empresas até janeiro de 2026 em recente decisão plenária.","https://noticias.stf.jus.br/postsnoticias/stf-prorroga-prazo-para-aprovacao-de-lucros-e-dividendos-ate-janeiro-de-2026/"
Fato,"O julgamento sobre a responsabilidade das big techs por conteúdos publicados por terceiros no Marco Civil da Internet prossegue no STF.","https://noticias.stf.jus.br/postsnoticias/julgamento-do-marco-civil-da-internet-prossegue-nesta-quinta-feira-5/"
Fato,"A 1ª Turma do STF determinou que novas decisões devem considerar precedentes do Supremo sobre a compensação de créditos de ICMS.","https://portal.stf.jus.br/"
Fato,"O Plenário do STF publicou o acórdão que definiu as regras constitucionais para o pagamento de verbas indenizatórias a servidores.","https://noticias.stf.jus.br/postsnoticias/supremo-publica-acordao-do-julgamento-que-definiu-regras-para-o-pagamento-de-verbas-indenizatorias/"
Fato,"O STF manteve a validade da inclusão de valores de ICMS na base de cálculo da Contribuição Previdenciária sobre a Receita Bruta (CPRB).","https://noticias.stf.jus.br/postsnoticias/em-2025-julgamentos-de-temas-de-repercussao-geral-tiveram-impacto-em-mais-de-220-mil-processos-em-todo-o-pais/"
Fato,"O Supremo Tribunal Federal abriu o Ano Judiciário de 2025 com uma sessão solene reforçando a defesa da democracia e da Constituição.","https://noticias.stf.jus.br/postsnoticias/radio-justica-confira-a-abertura-do-ano-judiciario-de-2025/"
Fato,"O STF estabeleceu que a retirada de conteúdo ofensivo da internet deve seguir critérios específicos para não ferir a liberdade de expressão.","https://noticias.stf.jus.br/postsnoticias/julgamento-do-marco-civil-da-internet-prossegue-nesta-quinta-feira-5/"
Fato,"Decisão do STF prorroga prazo para que o governo do Rio de Janeiro apresente imagens de câmeras corporais em operações policiais.","https://noticias.stf.jus.br/postsnoticias/stf-prorroga-prazo-para-que-governo-do-rj-apresente-imagens-da-operacao-contencao/"
Fato,"O STF decidiu que o autor da ação deve comprovar falha na fiscalização de contratos de terceirização pela administração pública.","https://noticias.stf.jus.br/postsnoticias/portal-do-stf-publicou-mais-de-1-800-materias-em-2025/"
Fato,"Em dois anos, o STF responsabilizou 898 pessoas por atos antidemocráticos de 8 de janeiro em processos relatados por Alexandre de Moraes.","https://noticias.stf.jus.br/postsnoticias/portal-do-stf-publicou-mais-de-1-800-materias-em-2025/"
Fato,"O STF validou a criação de leis municipais sobre o funcionamento de guardas civis em ações de segurança urbana e policiamento ostensivo.","https://noticias.stf.jus.br/postsnoticias/portal-do-stf-publicou-mais-de-1-800-materias-em-2025/"
Fato,"O Tribunal validou o Marco Legal das Garantias, permitindo a retomada extrajudicial de bens em caso de inadimplência de contratos.","https://noticias.stf.jus.br/postsnoticias/portal-do-stf-publicou-mais-de-1-800-materias-em-2025/"
Fato,"Ministro Edson Fachin foi eleito para a Presidência do STF e Alexandre de Moraes para a Vice-Presidência no biênio 2025-2027.","https://noticias.stf.jus.br/postsnoticias/portal-do-stf-publicou-mais-de-1-800-materias-em-2025/"
